"","id","senator_party","condition","pid7","pre_sexism_1","pre_sexism_2","pre_sexism_3","pre_sexism_4","pre_favorability","pre_vote","gender","age","newsinterest","post_favorability","post_vote","punishment_1","punishment_2","punishment_3","punishment_4","punishment_5","post_sexism_1","post_sexism_2","post_sexism_3","post_sexism_4","condition2","pid3","needmoreevidence","apology","longtimeago","resign","elitecues","needmoreevidence_reverse","longtimeago_reverse","meanpunishment","sameparty","pre_sexism","post_sexism","change_favorability","change_vote","change_sexism","perchange_favorability","perchange_vote","perchange_sexism"
"56",56,"Republican",3,"Strong Democrat",1,1,1,1,5,0,"Woman","25-34","Most of the time",5,0,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",1,1,0,0,0,0,0,0
"57",57,"Democrat",1,"Not very strong Democrat",3,3,3,3,10,10,"Man","35-44","Hardly at all",10,10,"Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree",3,3,3,3,"Jokes","Democrat",3,3,3,3,3,3,3,3,"Same party",3,3,0,0,0,0,0,0
"58",58,"Republican",3,"Not very strong Republican",3,4,2,2,8,8,"Woman","55-64","Some of the time",9,9,"","","","","",3,4,2,2,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2.75,2.75,1,1,0,11.1111111111111,11.1111111111111,0
"59",59,"Democrat",3,"Not very strong Republican",4,4,3,3,7,5,"Woman","35-44","Some of the time",5,5,"","","","","",4,4,3,3,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",3.5,3.5,-2,0,0,-25,0,0
"60",60,"Democrat",1,"Strong Democrat",1,1,1,1,8,8,"Woman","18-24","Most of the time",7,8,"Agree strongly","Disagree somewhat","Agree strongly","Disagree strongly","Agree somewhat",1,1,1,1,"Jokes","Democrat",5,2,5,1,4,1,1,1.25,"Same party",1,1,-1,0,0,-11.1111111111111,0,0
"61",61,"Republican",1,"Lean Democrat",1,1,4,1,1,1,"Woman","18-24","Most of the time",0,0,"Disagree somewhat","Agree strongly","Neither disagree nor agree","Neither disagree nor agree","Disagree strongly",1,1,4,1,"Jokes","Democrat",2,5,3,3,1,4,3,3.75,"Opposite party",1.75,1.75,-1,-1,0,-50,-50,0
"62",62,"Republican",2,"Strong Republican",5,5,1,5,5,5,"Man","18-24","Some of the time",5,6,"Agree strongly","Agree strongly","Agree strongly","Agree strongly","Agree strongly",5,5,1,5,"Assault","Republican",5,5,5,5,5,1,1,3,"Same party",4,4,0,1,0,0,16.6666666666667,0
"63",63,"Democrat",2,"Not very strong Democrat",1,1,2,1,5,5,"Man","35-44","Some of the time",0,0,"Disagree strongly","Agree somewhat","Disagree strongly","Agree somewhat","Disagree strongly",1,1,2,1,"Assault","Democrat",1,4,1,4,1,5,5,4.5,"Same party",1.25,1.25,-5,-5,0,-83.3333333333333,-83.3333333333333,0
"64",64,"Democrat",3,"Strong Republican",4,4,4,4,5,0,"Man","65 or over","Hardly at all",1,0,"","","","","",4,4,4,3,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",4,3.75,-4,0,-0.25,-66.6666666666667,0,-5
"65",65,"Republican",3,"Independent",1,1,2,1,7,5,"Woman","25-34","Only now and then",9,9,"","","","","",1,1,1,1,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",1.25,1,2,4,-0.25,25,66.6666666666667,-11.1111111111111
"66",66,"Democrat",1,"Strong Democrat",2,1,1,2,9,9,"Man","25-34","Most of the time",7,9,"Agree somewhat","Disagree strongly","Neither disagree nor agree","Disagree strongly","Neither disagree nor agree",2,2,1,1,"Jokes","Democrat",4,1,3,1,3,2,3,1.75,"Same party",1.5,1.5,-2,0,0,-20,0,0
"67",67,"Democrat",2,"Lean Republican",1,1,1,4,6,3,"Man","55-64","Most of the time",6,3,"Neither disagree nor agree","Disagree somewhat","Disagree strongly","Disagree strongly","Neither disagree nor agree",1,1,1,4,"Assault","Republican",3,2,1,1,3,3,5,2.75,"Opposite party",1.75,1.75,0,0,0,0,0,0
"68",68,"Democrat",3,"Lean Democrat",2,2,1,2,7,7,"Woman","65 or over","Most of the time",7,7,"","","","","",2,2,1,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1.75,1.75,0,0,0,0,0,0
"69",69,"Democrat",3,"Strong Democrat",1,1,1,1,9,9,"Man","55-64","Most of the time",9,9,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"70",70,"Democrat",3,"Independent",1,1,1,1,10,10,"Woman","55-64","Hardly at all",10,10,"","","","","",1,1,1,1,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",1,1,0,0,0,0,0,0
"71",71,"Republican",2,"Independent",1,1,1,1,6,6,"Woman","35-44","Most of the time",1,1,"Agree somewhat","Neither disagree nor agree","Disagree strongly","Agree strongly","Disagree somewhat",1,1,1,1,"Assault","Independent",4,3,1,5,2,2,5,3.75,"Independents/Not sures",1,1,-5,-5,0,-71.4285714285714,-71.4285714285714,0
"72",72,"Republican",2,"Independent",1,1,1,1,5,5,"Man","55-64","Hardly at all",5,5,"Neither disagree nor agree","Neither disagree nor agree","Disagree somewhat","Disagree strongly","Disagree somewhat",1,1,1,1,"Assault","Independent",3,3,2,1,2,3,4,2.75,"Independents/Not sures",1,1,0,0,0,0,0,0
"73",73,"Republican",1,"Not very strong Republican",1,1,2,1,7,7,"Man","25-34","Only now and then",6,6,"Agree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat",1,1,2,1,"Jokes","Republican",4,2,2,2,2,2,4,2.5,"Same party",1.25,1.25,-1,-1,0,-12.5,-12.5,0
"74",74,"Republican",3,"Not very strong Democrat",2,1,4,1,7,1,"Woman","18-24","Some of the time",8,2,"","","","","",3,1,4,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2.25,1,1,0.25,12.5,50,8.33333333333333
"75",75,"Democrat",2,"Strong Democrat",1,1,5,1,10,10,"Woman","25-34","Some of the time",0,0,"Disagree strongly","Agree strongly","Agree strongly","Agree strongly","Neither disagree nor agree",1,1,5,1,"Assault","Democrat",1,5,5,5,3,5,1,4,"Same party",2,2,-10,-10,0,-90.9090909090909,-90.9090909090909,0
"76",76,"Democrat",3,"Independent",2,4,1,3,10,10,"Man","25-34","Most of the time",10,10,"","","","","",2,4,1,3,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",2.5,2.5,0,0,0,0,0,0
"77",77,"Democrat",2,"Independent",4,3,4,2,6,8,"Woman","25-34","Some of the time",4,3,"Disagree somewhat","Neither disagree nor agree","Disagree somewhat","Neither disagree nor agree","Disagree somewhat",3,2,4,2,"Assault","Independent",2,3,2,3,2,4,4,3.5,"Independents/Not sures",3.25,2.75,-2,-5,-0.5,-28.5714285714286,-55.5555555555556,-11.7647058823529
"78",78,"Democrat",2,"Lean Democrat",2,3,2,3,9,9,"Man","25-34","Some of the time",8,7,"Agree somewhat","Disagree strongly","Disagree somewhat","Disagree strongly","Disagree somewhat",2,3,2,3,"Assault","Democrat",4,1,2,1,2,2,4,2,"Same party",2.5,2.5,-1,-2,0,-10,-20,0
"79",79,"Democrat",3,"Independent",3,4,3,4,9,9,"Man","25-34","Some of the time",9,9,"","","","","",3,3,3,4,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",3.5,3.25,0,0,-0.25,0,0,-5.55555555555556
"80",80,"Democrat",2,"Strong Democrat",1,1,1,1,7,8,"Man","25-34","Most of the time",0,0,"Disagree somewhat","Agree strongly","Disagree strongly","Agree somewhat","Agree strongly",1,1,1,1,"Assault","Democrat",2,5,1,4,5,4,5,4.5,"Same party",1,1,-7,-8,0,-87.5,-88.8888888888889,0
"81",81,"Democrat",2,"Lean Republican",2,4,3,2,8,8,"Woman","35-44","Most of the time",7,7,"Agree somewhat","Disagree strongly","Disagree somewhat","Disagree strongly","Disagree somewhat",4,4,4,2,"Assault","Republican",4,1,2,1,2,2,4,2,"Opposite party",2.75,3.5,-1,-1,0.75,-11.1111111111111,-11.1111111111111,20
"82",82,"Democrat",3,"Independent",3,3,4,4,6,5,"Man","18-24","Some of the time",6,5,"","","","","",3,3,4,4,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",3.5,3.5,0,0,0,0,0,0
"83",83,"Democrat",3,"Strong Democrat",1,1,1,1,9,9,"Man","35-44","Most of the time",9,9,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"84",84,"Republican",1,"Strong Republican",4,4,2,3,9,9,"Woman","35-44","Some of the time",7,3,"Agree somewhat","Neither disagree nor agree","Agree somewhat","Neither disagree nor agree","Agree somewhat",4,4,2,4,"Jokes","Republican",4,3,4,3,4,2,2,2.5,"Same party",3.25,3.5,-2,-6,0.25,-20,-60,5.88235294117647
"85",85,"Republican",2,"Lean Democrat",2,1,2,2,8,9,"Woman","25-34","Most of the time",5,3,"Disagree strongly","Agree somewhat","Agree strongly","Agree somewhat","Agree strongly",3,2,2,1,"Assault","Democrat",1,4,5,4,5,5,1,3.5,"Opposite party",1.75,2,-3,-6,0.25,-33.3333333333333,-60,9.09090909090909
"86",86,"Republican",1,"Lean Republican",2,4,2,4,8,8,"Woman","45-54","Only now and then",7,8,"Agree strongly","Disagree somewhat","Agree strongly","Disagree strongly","Neither disagree nor agree",4,4,2,4,"Jokes","Republican",5,2,5,1,3,1,1,1.25,"Same party",3,3.5,-1,0,0.5,-11.1111111111111,0,12.5
"87",87,"Republican",1,"Strong Democrat",1,1,1,1,5,0,"Woman","55-64","Most of the time",0,0,"Disagree strongly","Neither disagree nor agree","Disagree strongly","Agree strongly","Disagree strongly",1,1,1,1,"Jokes","Democrat",1,3,1,5,1,5,5,4.5,"Opposite party",1,1,-5,0,0,-83.3333333333333,0,0
"88",88,"Democrat",2,"Lean Republican",2,2,2,2,8,7,"Woman","35-44","Some of the time",7,7,"Agree strongly","Disagree somewhat","Agree somewhat","Disagree strongly","Neither disagree nor agree",2,2,2,2,"Assault","Republican",5,2,4,1,3,1,2,1.5,"Opposite party",2,2,-1,0,0,-11.1111111111111,0,0
"89",89,"Democrat",2,"Not very strong Republican",1,1,1,1,1,0,"Man","35-44","Most of the time",1,0,"Agree somewhat","Disagree strongly","Disagree strongly","Disagree strongly","Agree somewhat",1,1,5,1,"Assault","Republican",4,1,1,1,4,2,5,2.25,"Opposite party",1,2,0,0,1,0,0,50
"90",90,"Republican",1,"Not very strong Democrat",4,4,1,4,7,3,"Man","45-54","Most of the time",7,3,"Agree strongly","Neither disagree nor agree","Agree strongly","Disagree strongly","Neither disagree nor agree",4,4,1,4,"Jokes","Democrat",5,3,5,1,3,1,1,1.5,"Opposite party",3.25,3.25,0,0,0,0,0,0
